board,mcu,freq_mhz,timestamp_ms,alg,op,bytes_in,bytes_out,cycles,usec,energy_uJ,stack_hwm_words,heap_before,heap_after,toolchain,Oflag,lto,tmp117_cC,sht31_cC,sht31_rh_dpermil,ppk_start_ms,ppk_end_ms,ppk_duration_ms,ppk_n_samples,ppk_current_mean_uA,ppk_current_p95_uA,ppk_current_max_uA,ppk_charge_uC,ppk_energy_uJ
NUCLEO-F446RE,STM32F446RE,84,4553,dilithium2,sign,14,2420,15869654,188924,4116.833789,797,144,144,gcc-arm-none-eabi,O2,off,2219,2227,519,5111.69,5149.66,37.97,3798,32855.55414,36628.191,44258.152,1247.525391,4116.833789
NUCLEO-F446RE,STM32F446RE,84,4605,dilithium2,verify_ok,2420,0,3238933,38558,4149.123971,797,144,144,gcc-arm-none-eabi,O2,off,2219,2225,519,5186.75,5225,38.25,3826,32870.85736,36628.191,44475.41,1257.310294,4149.123971
NUCLEO-F446RE,STM32F446RE,84,4679,dilithium2,keygen,0,1312,3021903,35975,16737.36003,797,144,144,gcc-arm-none-eabi,O2,off,2219,2225,519,5237.7,5403.63,165.93,16594,30566.66837,35895.523,45182.934,5071.927283,16737.36003
NUCLEO-F446RE,STM32F446RE,84,4783,dilithium2,sign,14,2420,7715573,91852,4083.186202,797,144,144,gcc-arm-none-eabi,O2,off,2219,2225,519,5416.43,5454.39,37.96,3797,32595.60464,36680.625,44258.152,1237.329152,4083.186202
NUCLEO-F446RE,STM32F446RE,84,4835,dilithium2,verify_ok,2420,0,3249440,38683,3980.677575,797,144,144,gcc-arm-none-eabi,O2,off,2219,2225,519,5492.27,5528.81,36.54,3655,33012.20393,36628.191,44529.758,1206.265932,3980.677575
NUCLEO-F446RE,STM32F446RE,84,4908,dilithium2,keygen,0,1312,3065335,36492,19113.49952,797,144,144,gcc-arm-none-eabi,O2,off,2219,2227,519,5541.53,5730.78,189.25,18926,30604.85892,35843.289,45401.074,5791.969551,19113.49952
NUCLEO-F446RE,STM32F446RE,84,4995,dilithium2,sign,14,2420,6223529,74089,4149.454106,797,144,144,gcc-arm-none-eabi,O2,off,2219,2227,519,5744.23,5782.85,38.62,3863,32558.52758,36680.625,44149.602,1257.410335,4149.454106
NUCLEO-F446RE,STM32F446RE,84,5045,dilithium2,verify_ok,2420,0,3184454,37910,3918.174948,797,144,144,gcc-arm-none-eabi,O2,off,2219,2227,519,5820.87,5856.92,36.05,3606,32935.52682,36628.191,44312.449,1187.325742,3918.174948
NUCLEO-F446RE,STM32F446RE,84,5121,dilithium2,keygen,0,1312,3185846,37926,9299.707302,797,144,144,gcc-arm-none-eabi,O2,off,2219,2227,519,5869.64,5961.64,92,9201,30631.44698,36000.035,44747.273,2818.093122,9299.707302
NUCLEO-F446RE,STM32F446RE,84,5187,dilithium2,sign,14,2420,4496808,53533,4218.411147,797,144,144,gcc-arm-none-eabi,O2,off,2219,2227,519,5974.26,6013.02,38.76,3877,32980.04149,36628.191,44366.754,1278.306408,4218.411147
NUCLEO-F446RE,STM32F446RE,84,5237,dilithium2,verify_ok,2420,0,3183583,37899,4009.222465,797,144,144,gcc-arm-none-eabi,O2,off,2219,2227,519,6050.32,6086.87,36.55,3656,33239.83306,36733.066,44095.348,1214.915898,4009.222465
