board,mcu,freq_mhz,timestamp_ms,alg,op,bytes_in,bytes_out,cycles,usec,energy_uJ,stack_hwm_words,heap_before,heap_after,toolchain,Oflag,lto,lib_commit,fw_git,tmp117_cC,sht31_cC,sht31_rh_dpermil,ppk2_start_ms,ppk2_end_ms,ppk2_duration_ms,ppk2_samples,ppk2_current_mean_uA,ppk2_current_p95_uA,ppk2_current_max_uA,ppk2_charge_uC,ppk2_energy_uJ
NUCLEO-F446RE,STM32F446RE,84,5623,dilithium2,keygen,0,1312,3065515,36494,2912.6784291,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2205,2221,412,13624.0,13660.0,36.0,37.0,24638.296567567566,29264.347199999993,33029.609,882.6298270000001,2912.6784291
NUCLEO-F446RE,STM32F446RE,84,5712,dilithium2,sign,14,2420,6343405,75516,7593.9255051,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2205,2221,412,13713.0,13788.0,75.0,76.0,30732.60238157895,34548.397750000004,34800.289,2301.1895470000004,7593.9255051
NUCLEO-F446RE,STM32F446RE,84,5763,dilithium2,verify_ok,2420,0,3184227,37907,3864.5919707999997,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2205,2221,412,13764.0,13801.0,37.0,38.0,31710.910447368416,34161.10405,34188.484,1171.0884760000001,3864.5919707999997
NUCLEO-F446RE,STM32F446RE,84,5872,dilithium2,keygen,0,1312,3065352,36492,3549.5082711000005,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2205,2221,412,13873.0,13909.0,36.0,37.0,29941.36508108108,34065.0714,34145.883,1075.608567,3549.5082711000005
NUCLEO-F446RE,STM32F446RE,84,5939,dilithium2,sign,14,2420,4496382,53528,4979.2248495,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2205,2221,412,13940.0,13993.0,53.0,54.0,28584.37246296296,34636.1822,34748.617,1508.8560150000003,4979.2248495
NUCLEO-F446RE,STM32F446RE,84,5991,dilithium2,verify_ok,2420,0,3238865,38557,3108.7715802000002,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2205,2220,412,13992.0,14030.0,38.0,39.0,24789.49828205128,24938.497300000003,24951.877,942.0519940000001,3108.7715802000002
NUCLEO-F446RE,STM32F446RE,84,6100,dilithium2,keygen,0,1312,3065318,36491,3766.7757401999997,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2205,2220,412,14101.0,14137.0,36.0,37.0,31774.16972972973,34419.434,34474.961,1141.447194,3766.7757401999997
NUCLEO-F446RE,STM32F446RE,84,6295,dilithium2,sign,14,2420,15294616,182078,17098.9572468,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2220,412,14296.0,14478.0,182.0,183.0,28430.961153005468,34733.2048,34922.598,5181.5021959999995,17098.9572468
NUCLEO-F446RE,STM32F446RE,84,6346,dilithium2,verify_ok,2420,0,3183818,37902,2993.1355179,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2220,412,14347.0,14384.0,37.0,38.0,24430.963842105262,24995.9509,25016.475,907.0107630000001,2993.1355179
NUCLEO-F446RE,STM32F446RE,84,6455,dilithium2,keygen,0,1312,3065511,36494,3727.1025891,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2220,412,14456.0,14492.0,36.0,37.0,31105.774486486487,34363.9692,34406.031,1129.425027,3727.1025891
