board,mcu,freq_mhz,timestamp_ms,alg,op,bytes_in,bytes_out,cycles,usec,energy_uJ,stack_hwm_words,heap_before,heap_after,toolchain,Oflag,lto,tmp117_cC,sht31_cC,sht31_rh_dpermil,ppk_start_ms,ppk_end_ms,ppk_duration_ms,ppk_n_samples,ppk_current_mean_uA,ppk_current_p95_uA,ppk_current_max_uA,ppk_charge_uC,ppk_energy_uJ
NUCLEO-F446RE,STM32F446RE,84,1763,kyber512,encaps,800,768,1010812,12033,1474.197478,850,45200,45200,gcc-arm-none-eabi,O2,off,2239,2245,527,2259.28,2273.66,14.38,1439,31065.82117,35744.0761,42851.07,446.7265084,1474.197478
NUCLEO-F446RE,STM32F446RE,84,1791,kyber512,decaps,768,32,1208069,14381,1114.625075,850,45200,45200,gcc-arm-none-eabi,O2,off,2239,2245,527,2310.81,2321.62,10.81,1082,31245.62205,35686.66,42689.281,337.7651743,1114.625075
NUCLEO-F446RE,STM32F446RE,84,1839,kyber512,keygen,0,800,907928,10808,1242.218882,850,45200,45200,gcc-arm-none-eabi,O2,off,2239,2245,527,2334.32,2346.35,12.03,1204,31290.93636,36104.598,42851.07,376.4299644,1242.218882
NUCLEO-F446RE,STM32F446RE,84,1863,kyber512,encaps,800,768,1010845,12033,1451.344617,850,45200,45200,gcc-arm-none-eabi,O2,off,2239,2245,527,2359.33,2373.71,14.38,1439,30584.24195,35791.066,42635.375,439.8013992,1451.344617
NUCLEO-F446RE,STM32F446RE,84,1891,kyber512,decaps,768,32,1208098,14382,1106.386574,850,45200,45200,gcc-arm-none-eabi,O2,off,2239,2245,527,2411.87,2422.67,10.8,1081,31043.39433,35634.477,42204.617,335.2686588,1106.386574
NUCLEO-F446RE,STM32F446RE,84,1939,kyber512,keygen,0,800,908178,10811,1242.327511,850,45200,45200,gcc-arm-none-eabi,O2,off,2239,2245,527,2435.38,2447.41,12.03,1204,31293.67267,36209.211,42419.891,376.4628823,1242.327511
NUCLEO-F446RE,STM32F446RE,84,1964,kyber512,encaps,800,768,1076594,12816,1462.230766,850,45200,45200,gcc-arm-none-eabi,O2,off,2239,2245,527,2460.37,2474.75,14.38,1439,30813.64619,35791.066,42689.281,443.1002322,1462.230766
NUCLEO-F446RE,STM32F446RE,84,1992,kyber512,decaps,768,32,1262958,15035,1137.583863,849,45200,45200,gcc-arm-none-eabi,O2,off,2239,2247,527,2511.9,2522.7,10.8,1081,31918.73915,35686.66,42473.742,344.7223828,1137.583863
NUCLEO-F446RE,STM32F446RE,84,2041,kyber512,keygen,0,800,908136,10811,1242.774414,849,45200,45200,gcc-arm-none-eabi,O2,off,2239,2247,527,2535.41,2547.44,12.03,1204,31304.92995,36156.898,42743.195,376.5983073,1242.774414
NUCLEO-F446RE,STM32F446RE,84,2065,kyber512,encaps,800,768,1011042,12036,1469.998967,849,45200,45200,gcc-arm-none-eabi,O2,off,2239,2247,527,2560.41,2574.78,14.37,1438,30998.90275,35738.855,42635.375,445.4542326,1469.998967
NUCLEO-F446RE,STM32F446RE,84,2093,kyber512,decaps,768,32,1208304,14384,1114.589569,849,45200,45200,gcc-arm-none-eabi,O2,off,2239,2247,527,2611.94,2622.75,10.81,1082,31244.62672,35738.855,42797.125,337.7544148,1114.589569
NUCLEO-F446RE,STM32F446RE,84,2141,kyber512,keygen,0,800,907979,10809,1316.668204,849,45200,45200,gcc-arm-none-eabi,O2,off,2239,2247,527,2635.46,2648.28,12.82,1283,31122.49335,36203.9797,42419.891,398.9903648,1316.668204
NUCLEO-F446RE,STM32F446RE,84,2165,kyber512,encaps,800,768,1010888,12034,1514.190845,849,45200,45200,gcc-arm-none-eabi,O2,off,2239,2247,527,2661.25,2676.29,15.04,1505,30508.35841,35728.416,42527.609,458.8457106,1514.190845
NUCLEO-F446RE,STM32F446RE,84,2193,kyber512,decaps,768,32,1208146,14382,1114.392719,849,45200,45200,gcc-arm-none-eabi,O2,off,2239,2247,527,2714,2724.8,10.8,1081,31268.03364,35791.066,42689.281,337.6947633,1114.392719
NUCLEO-F446RE,STM32F446RE,84,2241,kyber512,keygen,0,800,973445,11588,1252.305084,849,45200,45200,gcc-arm-none-eabi,O2,off,2239,2247,527,2737.51,2749.54,12.03,1204,31545.00324,36104.598,42689.281,379.486389,1252.305084
NUCLEO-F446RE,STM32F446RE,84,2267,kyber512,encaps,800,768,1010929,12034,1441.40275,849,45200,45200,gcc-arm-none-eabi,O2,off,2239,2245,527,2762.51,2776.89,14.38,1439,30374.73658,35738.855,42851.07,436.7887121,1441.40275
