dataset,run_index,board,mcu,freq_mhz,timestamp_ms,alg,op,bytes_in,bytes_out,cycles,usec,energy_uJ,stack_hwm_words,heap_before,heap_after,toolchain,Oflag,lto,lib_commit,fw_git,tmp117_cC,sht31_cC,sht31_rh_dpermil,ppk2_start_ms,ppk2_end_ms,ppk2_duration_ms,ppk2_samples,ppk2_current_mean_uA,ppk2_current_p95_uA,ppk2_current_max_uA,ppk2_charge_uC,ppk2_energy_uJ
dataset2,9,NUCLEO-F446RE,STM32F446RE,84,1788741,sphincs_sha2_128s,verify,7856,0,8492367,101099,10328.9313336,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2353,2360,433,1179633.0,1179734.0,101.0,102.0,30992.780774509807,31430.17075,31485.404,3129.979192,10328.9313336
dataset2,10,NUCLEO-F446RE,STM32F446RE,84,1802671,sphincs_sha2_128s,keygen,0,32,1163577031,13852107,1414898.7080778,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2351,2361,433,1193563.0,1207415.0,13852.0,13853.0,30952.7496522053,31408.094800000003,31675.104,428757.18426600005,1414898.7080778
dataset2,10,NUCLEO-F446RE,STM32F446RE,84,1907940,sphincs_sha2_128s,sign,12,7856,251115702,2989472,306074.1457323,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2352,2359,433,1298832.0,1301821.0,2989.0,2990.0,31030.438045484952,31436.7841,31695.42,92749.741131,306074.1457323
dataset2,10,NUCLEO-F446RE,STM32F446RE,84,1908065,sphincs_sha2_128s,verify,7856,0,8907318,106039,10810.1798937,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2352,2359,433,1298957.0,1299063.0,106.0,107.0,30901.63927102804,31348.1471,31484.844,3275.812089,10810.1798937
dataset2,11,NUCLEO-F446RE,STM32F446RE,84,1921991,sphincs_sha2_128s,keygen,0,32,1163228104,13847953,1414499.5044741,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2352,2359,433,1312883.0,1326730.0,13847.0,13848.0,30955.168900057768,31417.0173,31726.412,428636.213477,1414499.5044741
dataset2,11,NUCLEO-F446RE,STM32F446RE,84,2027258,sphincs_sha2_128s,sign,12,7856,250948257,2987479,306100.43815889995,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2350,2360,433,1418150.0,1421137.0,2987.0,2988.0,31053.90264424364,31451.48225,31697.607,92757.708533,306100.43815889995
dataset2,11,NUCLEO-F446RE,STM32F446RE,84,2027380,sphincs_sha2_128s,verify,7856,0,8672473,103243,10521.934140299998,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2350,2360,433,1418272.0,1418375.0,103.0,104.0,30956.93550961539,31427.26185,31488.299,3188.464891,10521.934140299998
dataset2,12,NUCLEO-F446RE,STM32F446RE,84,2041306,sphincs_sha2_128s,keygen,0,32,1163216854,13847819,1416859.3465059,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2350,2359,433,1432198.0,1446045.0,13847.0,13848.0,31006.830456239168,31439.8388,31734.99,429351.317123,1416859.3465059
dataset2,12,NUCLEO-F446RE,STM32F446RE,84,2146574,sphincs_sha2_128s,sign,12,7856,251049857,2988688,306072.8936364,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2350,2357,433,1537466.0,1540454.0,2988.0,2989.0,31040.615600535297,31446.4228,31690.275,92749.361708,306072.8936364
dataset2,12,NUCLEO-F446RE,STM32F446RE,84,2146702,sphincs_sha2_128s,verify,7856,0,9155569,108994,11089.991325599996,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2350,2357,433,1537594.0,1537702.0,108.0,109.0,31108.35690825689,31447.5718,31514.752,3360.603432,11089.991325599996
