dataset,run_index,board,mcu,freq_mhz,timestamp_ms,alg,op,bytes_in,bytes_out,cycles,usec,energy_uJ,stack_hwm_words,heap_before,heap_after,toolchain,Oflag,lto,lib_commit,fw_git,tmp117_cC,sht31_cC,sht31_rh_dpermil,ppk2_start_ms,ppk2_end_ms,ppk2_duration_ms,ppk2_samples,ppk2_current_mean_uA,ppk2_current_p95_uA,ppk2_current_max_uA,ppk2_charge_uC,ppk2_energy_uJ
dataset2,9,NUCLEO-F446RE,STM32F446RE,84,56060,falcon512,sign,11,655,63347500,754136,70365.02380050131,7549,784,784,gcc-arm-none-eabi,O2,off,unknown,nogit,2525,2496,590,33301.0,34055.1,754.0999999999985,7542.0,28274.86052665076,31125.0336,39011.816,21322.7344850004,70365.02380050131
dataset2,9,NUCLEO-F446RE,STM32F446RE,84,56085,falcon512,verify,655,0,876814,10438,847.1719360500906,7549,784,784,gcc-arm-none-eabi,O2,off,unknown,nogit,2525,2496,590,33326.0,33336.4,10.400000000001455,105.0,24720.31507619048,28190.4044,28768.854,256.71876850002747,847.1719360500906
dataset2,10,NUCLEO-F446RE,STM32F446RE,84,57866,falcon512,keygen,0,897,143309522,1706065,157278.43631148362,7549,784,784,gcc-arm-none-eabi,O2,off,unknown,nogit,2524,2496,590,35107.0,36813.0,1706.0,17061.0,27936.701733837406,33877.676,38476.055,47660.13221560109,157278.43631148362
dataset2,10,NUCLEO-F446RE,STM32F446RE,84,58637,falcon512,sign,11,656,63569071,756774,69262.78839909351,7549,784,784,gcc-arm-none-eabi,O2,off,unknown,nogit,2523,2496,590,35878.0,36634.7,756.6999999999971,7568.0,27736.50633866279,33686.4954,38476.055,20988.723757301068,69262.78839909351
dataset2,10,NUCLEO-F446RE,STM32F446RE,84,58663,falcon512,verify,656,0,876863,10438,1079.847074130271,7549,784,784,gcc-arm-none-eabi,O2,off,unknown,nogit,2523,2496,590,35904.0,35914.4,10.400000000001455,105.0,31482.30976190476,34330.844,34753.273,327.2263861000821,1079.847074130271
dataset2,11,NUCLEO-F446RE,STM32F446RE,84,60834,falcon512,keygen,0,897,176172033,2097286,189914.37952871848,7549,784,784,gcc-arm-none-eabi,O2,off,unknown,nogit,2522,2496,590,38075.0,40172.2,2097.199999999997,20973.0,27441.18754222095,33415.202399999995,38878.441,57549.811978399535,189914.37952871848
dataset2,11,NUCLEO-F446RE,STM32F446RE,84,61603,falcon512,sign,11,661,63326751,753889,67919.06214389946,7549,784,784,gcc-arm-none-eabi,O2,off,unknown,nogit,2521,2494,590,38844.0,39597.8,753.8000000000029,7539.0,27303.48495529911,33703.6747,38532.5,20581.53398299984,67919.06214389946
dataset2,11,NUCLEO-F446RE,STM32F446RE,84,61628,falcon512,verify,661,0,877385,10445,1087.840458210039,7549,784,784,gcc-arm-none-eabi,O2,off,unknown,nogit,2521,2494,590,38869.0,38879.4,10.400000000001455,105.0,31628.60949523809,34833.3486,35122.566,329.6486237000118,1087.840458210039
dataset2,12,NUCLEO-F446RE,STM32F446RE,84,65634,falcon512,keygen,0,897,330246523,3931506,356528.68630730995,7549,784,784,gcc-arm-none-eabi,O2,off,unknown,nogit,2519,2496,591,42875.0,46806.5,3931.5,39316.0,27480.30339187608,33603.6145,38918.328,108038.99585069998,356528.68630730995
dataset2,12,NUCLEO-F446RE,STM32F446RE,84,66405,falcon512,sign,11,651,63470438,755600,70271.97098262131,7549,784,784,gcc-arm-none-eabi,O2,off,unknown,nogit,2519,2494,591,43646.0,44401.6,755.5999999999985,7557.0,28182.24524308588,30990.385,37728.355,21294.5366614004,70271.97098262131
dataset2,12,NUCLEO-F446RE,STM32F446RE,84,66430,falcon512,verify,651,0,876462,10434,982.2638212201142,7549,784,784,gcc-arm-none-eabi,O2,off,unknown,nogit,2519,2494,591,43671.0,43681.4,10.400000000001455,105.0,28579.5030952381,29580.8024,30363.23,297.65570340003467,982.2638212201142
dataset2,13,NUCLEO-F446RE,STM32F446RE,84,68488,falcon512,keygen,0,897,166695487,1984470,183961.64955266865,7549,784,784,gcc-arm-none-eabi,O2,off,unknown,nogit,2518,2493,591,45729.0,47713.4,1984.4000000000012,19845.0,28092.390450491308,33666.522,38706.324,55745.95440989958,183961.64955266865
