dataset,run_index,board,mcu,freq_mhz,timestamp_ms,alg,op,bytes_in,bytes_out,cycles,usec,energy_uJ,stack_hwm_words,heap_before,heap_after,toolchain,Oflag,lto,lib_commit,fw_git,tmp117_cC,sht31_cC,sht31_rh_dpermil,ppk2_start_ms,ppk2_end_ms,ppk2_duration_ms,ppk2_samples,ppk2_current_mean_uA,ppk2_current_p95_uA,ppk2_current_max_uA,ppk2_charge_uC,ppk2_energy_uJ
dataset1,10,NUCLEO-F446RE,STM32F446RE,84,26270,p256,sign,32,70,34426150,409835,43024.44819,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2210,2214,498,22197.89,22592.18,394.28999999999996,39430,33066.21399,36104.598,37626.613,13037.71157,43024.44819
dataset1,10,NUCLEO-F446RE,STM32F446RE,84,27095,p256,verify,32,0,68224599,812197,44642.00976,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2210,2217,498,22605.71,23016.07,410.36,41037,32965.88242,36209.211,38629.738,13527.88175,44642.00976
dataset1,11,NUCLEO-F446RE,STM32F446RE,84,27529,p256,keygen,0,64,33178923,394987,88209.21741,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2210,2217,498,23029.94,23840.55,810.61,81062,32975.17771,36156.898,37995.641,26730.06588,88209.21741
dataset1,11,NUCLEO-F446RE,STM32F446RE,84,27952,p256,sign,32,70,34469935,410356,42977.32019,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2210,2215,499,23879.17,24272.85,393.67999999999995,39369,33081.20133,36156.898,37679.293,13023.43036,42977.32019
dataset1,11,NUCLEO-F446RE,STM32F446RE,84,28780,p256,verify,32,0,68307391,813183,44997.8697,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2210,2215,499,24286.38,24699.6,413.21999999999997,41323,32998.73095,36261.539,38259.621,13635.71809,44997.8697
dataset1,12,NUCLEO-F446RE,STM32F446RE,84,29212,p256,keygen,0,64,33059081,393560,87989.99831,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2210,2214,498,24712.98,25521.98,809.0,80901,32958.68386,36156.898,38101.191,26663.63585,87989.99831
dataset1,12,NUCLEO-F446RE,STM32F446RE,84,29637,p256,sign,32,72,34546603,411269,42994.34063,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2210,2212,499,25560.51,25954.04,393.53,39354,33106.90257,36156.898,37679.293,13028.58807,42994.34063
dataset1,12,NUCLEO-F446RE,STM32F446RE,84,30465,p256,verify,32,0,68438459,814743,44715.65642,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2210,2215,499,25967.58,26378.45,410.87,41088,32979.3277,36209.211,38682.664,13550.19892,44715.65642
dataset1,13,NUCLEO-F446RE,STM32F446RE,84,30897,p256,keygen,0,64,33059081,393560,88677.66088,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2210,2215,499,26391.83,27207.49,815.6600000000001,81567,32945.08842,36156.898,37731.984,26872.01845,88677.66088
dataset1,13,NUCLEO-F446RE,STM32F446RE,84,31319,p256,sign,32,71,34300083,408334,43125.65451,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2210,2217,499,27245.69,27640.75,395.06,39507,33079.42645,36156.898,38312.453,13068.38015,43125.65451
dataset1,13,NUCLEO-F446RE,STM32F446RE,84,32142,p256,verify,32,0,68021515,809779,44643.94344,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2210,2215,499,27654.29,28064.11,409.82,40983,33010.73431,36261.539,38206.797,13528.46771,44643.94344
dataset1,14,NUCLEO-F446RE,STM32F446RE,84,32576,p256,keygen,0,64,33178923,394987,88426.77182,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2210,2214,499,28077.5,28889.87,812.37,81238,32984.92458,36156.898,37890.137,26795.99146,88426.77182
